,ID,text,labels,target
3223,3791,من أهم المؤشرات التي استند اليها المسح هو مؤشر رأس المال البشري والذي يعتبر الاداة الحقيقية في تفعيل #الحكومة الالكترونية واذا كان رأس المال البشري غير مؤهل وغير قابل للتغير فهذي اكبر معظلة تواجهها الحكومة للتحول الرقمي او التحول الي الحكومة الذكية,1,Digital Transformation
2472,2900,كان يوم أسود يوم م أخدت تطعيم كورونا..🤦,0,Covid Vaccine
1466,1729,اننا في عصر التحول الرقمي.. فكر بالتقنية لانها مستقبل التجارة العالمية.. من لا يملك فكر رقمي تقني في تجارته فسوف تنتهي تجارته قريباً..,1,Digital Transformation
1187,1400, التواريخ المؤثره في حياتك ( طبعا تاثير حلو زي ولادتك طفولتك تخرجك …)- شعور بالتطور -تمكين المراه- الامن الامان في دولتنا - شعورك بعد ازمة كورنا واربيطها مع شهر رمضان-,2,Women empowerment
583,695,لله الحمد والمنة اخذت الجرعة التنشيطية اليوم,0,Covid Vaccine
1563,1843,#التعداد_الإلكتروني_2020 أثبت هذا العمل الوطني المميز بانه لا يوجد اي عذر لأي جهة حكومية او خاصة في التحول الى النظام الالكتروني بالكامل.. نجاح #رؤية_عمان_2040 يعتمد على ذلك..,1,Digital Transformation
879,1036, فاهم الرجولة غلط فاهم الزواج غلط يعيش حالة انكسار بعد #تمكين_المرأة,2,Women empowerment
510,606, عدم التزام الموظفين بتطبيق التراسل الإلكتروني واستخدام نظام الارشفه ويعود إلى  ١ عدم وجود رقابة من المسؤولين ع موظفيهم ٢ عدم التزام المؤسسات المعنية بتطبيق التحول الرقمي مثل هيئة الوثائق والمحفوظات و هيئة تقنية المعلومات  ٣ على الإدارة اتخاذ إ,1,Digital Transformation
2571,3014,MENTION صح مافيه تطعيم له 👍👏  البعض صادته كورونا مرتين وحتى وهو ماخذ اللقاح   الله المستعان,0,Covid Vaccine
3148,3697,طابور تطعيم كورونا بالكويت   شكراً حكومتنا الرشيدة 🇸🇦🇸🇦🇸🇦 ,0,Covid Vaccine
2278,2669,الحمدلله اخذت امس الجرعه الاولى  من لقاح فايزر عسى خير ان شاء الله  ونصيحتي لكم ياخوان طعموا بارك الله  فيكم والتطعيم باذن الله راح يحميك من  المرض بعد الله سبحانه  #تطعيم_كورونا,0,Covid Vaccine
1791,2108, تقييم الموظف السنوي له اثر في رفع جودة الاداء  التحول الالكتروني او الحكومة الرقمية انجز وانت في بيتك احد المشاريع اللي شغاله عليه الحكومة السعودية تحت مسمى ( يسر ) هذه بعض التعريفات لكثير من الخدمات الإلكترونية   URL,1,Digital Transformation
2510,2946,بدء عمليات التحول الإلكتروني لخدمات وزارة الزراعة  #الأردن_اليوم URL,1,Digital Transformation
1981,2329,MENTION MENTION MENTION تمكين ايش!؟ المرأه مكانها بالبيت الا للضروره كمعلمه كدكتوره او  ليس لها عال يعيلها ام ان اضع المرأه بالسلك العسكري هذا كثير ومبالغ فيه.,2,Women empowerment
60,73,تمكين المرأة يجب أن لايكون على حساب الرجل,2,Women empowerment
2099,2464,اتابع تغطية سمو أمير #منطقة_القصيم خلال افتتاح مبنى الكلية التقنية للبنات في مدينة #بريدة  عبر سناب  زيارة رائعة تتسم بأهمية تمكين المرأة الأمير مستمع رائع ومحفز يمنح من امامه الاريحية للتحدث ختم جولته داعماً المنسوبات ب ِأنتن ( كحيلات الوطن ) ,2,Women empowerment
2514,2951,MENTION MENTION MENTION الصراحه ابي جرعة ثالثه وافضل يكون تطعيم دوري لان الدراسات الاخيره لفايزر تقول خلال خمس شهور تنزل فعالية اللقاح يعني تخف وانا بعد ٦ شهور من فايزر صادني كورونا مع كل الأعراض وتعبت تعب ما ابي ارجع اتعب فاتمنى اخذه,0,Covid Vaccine
3433,4041,MENTION MENTION متأكدة من هالكلام انا خذت اللقاح وغيري كثير خذو اللقاح فايزر الحمدلله ماحد جاه كورونا ولا صارله شي من التطعيم تطعمو وفحصو قبل التطعيم  واللي عنده سكروضغط يفحص السكر والضغط ويخبر الممرض بالنتيجة قبل التطعيم ويساوي فحص كورونا والله الحامي الحمدلله  الكثير اخذو تطعيم كورونا,0,Covid Vaccine
3179,3733,MENTION #كشف_المستور_اللقاح_سلاح_بيولوجى 🚀🚀🚀🚀 مؤامره كورونا لتقليل عدد سكان الارض حيث اعترف بل جيتس بالمؤامره اللقاح والتطعيم الذى يصيب المطعمين بالعقم وسمومه لقاح بيولوجى يغير جينات الانسان الوارثيه ويقضى على المناعه الطبيعيه ويصبح مدمن لقاح مدمن تطعيم جرعات تالثه ورابعه وخمسه 💉💉 URL,0,Covid Vaccine
2990,3507, تمكين المرأة في كل الميادين واجب وطني وحق تستحقه بجدارة مثلها كمثل الرجل..,2,Women empowerment
2708,3176,٩٠٪ بنات معاهم شهايد جامعية و خبرات و لغات و آخر حاجه الوظايف يا كول سنتر أو سوق براتب أقل و جهد وقت أكثر و ذا تسمونه تمكين المرأة بسوق العمل !! ,2,Women empowerment
2958,3466, خلصنا تطعيم يالشيخ وأخذت السينوفارم لكن سجلت حق جرعة تنشيطية من لقاح فايزر ... وربي يعطينا وإياكم الصحة والعافية,0,Covid Vaccine
1520,1792, تمكين المرأة بصورته الحالية مخالف لشرع الله تعالى قال ربنا ( وقرن في بيوتكن ) وقال سبحانه ( ولايبدين زينتهن) وقال تعالى ( ولاتبرجن تبرج الجاهلية الاولى ) وعن امرأتي مدين ( لانسقي حتى يصدر الرعاء) فلا يختلطن بالرجال وقال النبي ( اياكم والدخول عل,2,Women empowerment
2827,3321,  اكيد اكيد واحنا بالطبع مع تمكين المراه,2,Women empowerment
2234,2619, هم لا يخافون بل يرتعبون. فكره تمكين المرأه وفي المجتمع تقضى على الشكل الهرمي الذى يعتمد عليه الطواغيت كوسيله من وسائل السيطره على المجتمع.,2,Women empowerment
131,163,وهل استوعبت أن فزعة المعلم وفزّته بتدريب وتطوير ذاته مهنيًا ليست كافية إن لم يتم تهيئة المدارس وتدريب الفئة المستهدفة فيها تدريبًا فعليًا لا ورقيًا ولا صوريًا لهذه المرحلة والنقلة وهذا التحول الإلكتروني؟,1,Digital Transformation
431,512, الذي يرى بعيون قريبة   يرى تطور بيئة المستشفيات   يرى التحول الرقمي في الوزارة من خلال التطبيقات ( موارد   موعد   صحة   وصفتي   وتين   تباعد   صحتي ) الملف الالكتروني بالمراكز الصحية   يرى كذلك وضع المؤشرات الصحية   استحداث مراكز تجربة المريض .,1,Digital Transformation
2962,3470, هل سبق وزرتي الهند وخاصه المناطق الفقيرة؟ هذا متوقع لدولة كبيره تعتبر قاره ولا ينتقع الشعب من خيراتها بالاخير هذا احد نتائج التطعيم هو ارتفاع معدل الاصابات حيث انهم قبل فتره اعلنوا عن بدء اكبر حملة تطعيم للعالم وهذه النتيجة كورونا اصابت الاغلبي,0,Covid Vaccine
2203,2583,#لا_للتطعيم_الاجباري70  بريطانيا تحجم عن تطعيم اليافعين ضد كورونا URL,0,Covid Vaccine
3083,3617,لماذا يتكفل المواطن بشكل عام والطلبة بشكل خاص بتحمل تكاليف خدمات الانترنت ؟ وسط اختيار الدولة التحول الى المعاملات الكترونيا و فرض الاجتماعات اونلاين  و #التعليم_الإلكتروني  المطلوب ان يتوفر الانترنت بالمجان للجميع .  #انترنت_بالمجان,1,Digital Transformation
1201,1416, #فيروس_كورونا الحمدالله علي نعمة الصحة والعافية للمعلومية:  لايوجد تأثير بموضع تطعيم اللقاح .. خاصة تعطيم جرعة #أكسفورد . ,0,Covid Vaccine
2300,2699,#تطعيم_كورونا  لحماية نفسك وعائلتك ومجتمعك  خذ اللقاح وسجل الآن عبر تطبيق صحتي.         ,0,Covid Vaccine
769,915,التحول الرقمي الشامل لجميع القطاعات هو المستقبل #تحول_رقمي #عملات_رقمية,1,Digital Transformation
2658,3117,جاءت #رؤية_2030  في انسجام تام مع خصائص المجتمع السعودي وثقافته الأصيلة ؛ لنجد تمكين المرأة من ممارسة دورها القيادي في تنمية المجتمع، يتصاعد في مختلف الميادين.🤝💜  #قطوف  #جمعة  #المرأة_في_2030 ,2,Women empowerment
2735,3210,لا يمكنك معايشة عصر التكنولوجيا والإنترنت بذات العقلية التقليدية التي لا تتناسب مع ثورة الإنترنت وتقنياتة دائمة التطور  حيث أننا نتجة بقوة لتحول رقمي يتكامل مع الوقت في كل نواحي الحياه والأعمال. #التحول_الرقمي,1,Digital Transformation
1954,2298,  المشكلة ان كل حكومات العالم الغربي والعربي ماشية فى التحول الالكترونى وكل الخدمات  من خلال الانترنت وده سلاح ذو حدين ومخاطر الهاكرز  بالإضافة إلى التوقف فى حالة ان الانترنت اتقطع نتيجة لقطع  الكابلات البحريه,1,Digital Transformation
1432,1685,MENTION MENTION كنت جاهلة وصفيرة وما اعرف خطورة اللقاحات والله يغفر لي والحين عرفت الحمدلله فقررت اني ما اخذ تطعيم كورونا انا حرة 😅,0,Covid Vaccine
869,1025,MENTION  اقولك نسبة الشفاء تتعدى ٩٩% وانت مصر تاخذ لقاح  مايعطي مناعة ضد الفايروس أصلاً  وفيه حالات كثيرة ومشهورين بعد اخذوا جرعتين وماتو الله يرحمهم  ..  لايوجد كورونا الان وفيه اصرار على الجرعة الثالثة وعلى تطعيم الأطفال الي نادر إصابتهم,0,Covid Vaccine
429,510,#لا_للتطعيم_الاجباري  الا الجهاز المناعي وش وظيفته!! محد معترف فيه!! هو الي بعد الله يحمينا ترا نقدر نرفع المناعه بدون تدخل تطعيم يعني الحين التطعيم هو بس الي يرفعها ويعززها وغيره لا  صار الحل الأمثل لقاح تجرررررريبي,0,Covid Vaccine
955,1123, اذا منظمه الصحة العالمية نفسها صرحت بعدم فرض شهادة تطعيم شرطا للسفر 🙂 وكذلك وزيرنا الصحه صرح بنفس التصريح.. واللقاح تجريبي الى سنه 2023 .. منو الجهة الي حابه تعرض نفسها للمساءلة القانونية بفرض لقاح تجريبي يادكتور ؟؟؟ ,0,Covid Vaccine
1839,2164,كل شيء كنا نرجوه و نتمنى أن نراه في وطننا اليوم نشوفه واقع ..  الطاقة المتجددة   المشاريع الضخمة   سعوديتنا خضراء   تمكين المرأة   النهضة العمرانية و الاقتصادية   التحول التقني ..  الله يعزنا و يعز بلادنا ويزيدها رفعة ويحفظ لنا أمنها و حكامها 🤍  #رؤية_2030_واقع_يتحقق,1,Digital Transformation
1813,2134,#حج_ذكي #وطن_طموح_وطن_رقمي وزارة الحج بقيادة عراب التقنية  تسير بخطى  قوية ومنظمة نحو تنفيذ خطة #التحول_الرقمي الطموحة لتحقيق رؤية  شكرا لفريق العمل URL,1,Digital Transformation
913,1076,تمكين المرأة سياسيًا ودعمها ، من خلال توفير الفرص المتكافئة، لأجل وصولها إلى مناصب قيادية؛ يعد خطوة مهمة في الطريق الصحيح .. مبارك تعيينهن.. وتمنياتي لهن بالتوفيق والنجاح... ,2,Women empowerment
1743,2048, والقادم أجمل باذن الله...عمل دؤوب متواصل نهارا وليلا من فريق عمل ذو كوادر عمانيه أثبتت جدارتها ...وبتوجيهات ومتابعة حثيثة من قبل الإدارة العامة للتخطيط والإدارة العامة للمحاكم لإنجاز مشروع التحول الإلكتروني في وقت قياسي.....بوركت جهودكم ووفقكم ا,1,Digital Transformation
2113,2480,في الختام عند الحديث عن عملية التحول التقني يجب أن ننوه إلى أنها عملية معقدة و تحتاج إلى دراسة و إمكانيات مادية جيدة   فهناك الكثير من العناصر الخفيّة التي يجب الانتباه لها قبل البدء بتطبيق نموذج العمل الحديث. URL,1,Digital Transformation
1402,1650, هو كلام مش هيعجب ناس كتير لكن الاجندة العالمية الجديدة لها اساسيات 1- نشر الشذوذ و لاباحية و الانحلال 2- تهميش الدين و التدين اي دين 3- تمكين المرأة في كل المجالات و جعل العنصر النسوي هو السائد 4- ادخال الربا في كل المعاملات الاقتصادية,2,Women empowerment
351,418,خايفة من التحول الإلكتروني اللي حنا فيه  أبدا ماني سعيدة تجاه هالخطوة. اليوم حنا مستانسين بالسهولة لكن بعد عشر سنين وش رح يصير ؟,1,Digital Transformation
2753,3229,#كورونا_مغير_المفاهيم _ ستتبنى الشركات مفهوم التحول التقني في كثير من اعمالها. وقد تصبح عادة حتى بعد انتهاء الأزمة,1,Digital Transformation
3135,3679,  كل شي صار رقمي. وتضررو الناس و و و ماعندي مشكلة بالرقمي والي اخره ولكن ماذا بعد التحول الرقمي؟,1,Digital Transformation
1675,1974,كأنه من مضاعفات تطعيم كورونا  انه نبطل نعرف ندرس🙄,0,Covid Vaccine
87,105,الحريم مثل الطفل المتهوّر اللي يدخل اصبعه بفيش كهرباء ويطلع للطريق قدام السيارات  بس ما تقدر تمنعه من تهوره ومن إلحاق الضرر لنفسه وللإخرين لأن الحكومات بتمنعك من منعه وذلك بإسم (تمكين المرأة),2,Women empowerment
2560,3003,#الكويت الدولة الوحيدة الي فرضت شهادة تطعيم و اهيه اقل دولة وفرت لقاح و طعمت شعبها مافي لقاح !!!! و شروط تمنع الغير مطعمين  لا حول و لا قوه إلا بالله  🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣  #لا_للحظر #لا_للتطعيم_الإجباري  #لا_للتمييز URL,0,Covid Vaccine
2493,2926, التحول الالكتروني حدث وسيستمر  هذه مؤشرات كانت موجوده من سنين ولكن الكوفيد سرع الاجراء. سيخسر موظفين عملهم ولكن بيبحثو عن فرص اخرى لكسب الرزق فسنلاحظ ظهور شريحه وقطاعات جديده.  هذا يسمى انتهاز الفرص والموظف اللذي لن ينتهز هذه الفرص سيبقى عاطل,1,Digital Transformation
397,469,ليش ما قلتوا هالشي من زمان ؟ لمن الناس اخذوا التطعيم الحين صرحتوا بهالشي !؟  امراض اكثر وحشية من كورونا ما تحتاح البشرية تطعيم سنوي ضدها شمعنى كورونا ؟ URL,0,Covid Vaccine
914,1077, عندكم تطعيم كورونا الكبار الجرعه الثالثه ولا لا,0,Covid Vaccine
21,28,#افضل_الممارسات_في_التعلم_الالكتروني استراتيجيات التدريس في #التعليم_الالكتروني  الطريقة التي يمكن ان نقدم البرامج التعليمية للطلاب في أي وقت و أي مكان باستخدام تقنية المعلومات والاتصالات التفاعلية  #تقنيات_التعليم #التعلم_عن_بعد #حول_عالتقنية  #التحول_الرقمي URL,1,Digital Transformation
1758,2069,   #بطل_المرحله  التحول الإلكتروني 😍💛🖤💛✌️,1,Digital Transformation
598,715,وزيرة الدولة لشؤون الاتصالات وتكنولوجيا المعلومات د.رنا الفارس وعدت بالتحول الرقمى   ولا زال التحول مصاب بالحول . بابا ما دام فيه مستشارين وافدين سيخسرون مواقعهم فحتما لن يكتب للتحول الرقمي النجاح .. فشلتم فشلا ذريعاً URL,1,Digital Transformation
1698,1998,MENTION الي اخذ جرعة كورونا حول العالم ٣ مليار شخص  الكويتيين ٣ مليون ومو مقتنعين انه يحتاج تطعيم  هذا الشعب كيف تفهمه او تتفاهم معه,0,Covid Vaccine
1729,2033,ليشهد التاريخ بدور تمكين المرأة #السعودية منذ التأسيس فهكذا نحن بهمتنا وهكذا سنبقى بطموحنا دون الوطن  انتهى ✅ URL,2,Women empowerment
1473,1736,     اليوم بفضل الله السعوديه من افضل خمسة دول في العالم في التحول الرقمي والذكاء الاصطناعي والمواطن والمقيم في السعودية بضغطة زر وهوا في بيته بيعمل كل الخدمات وانت خليك صف سرا طول النهار ع,1,Digital Transformation
81,97, يشهد التحول الالكتروني في المرفق القضائي نقلة نوعية وتطورًا ملموسًا  سواء بالإجراءات وتبسيطها أو إصدار الأنظمة والقرارات واللوائح وتطويرها  أو بتفعيل التقنية وتوظيفها واستثمارها  توفيراً للجهود  وتسهيلاً على المتقاضين  وسرعةً للفصل في المنازعات ,1,Digital Transformation
28,38,بتبرع كريم من شركة القدس للتأمين وكجزء من مسؤوليتهم المجتمعية تجاه السيدات ولدعم تمكين المرأة دربنا عدد من السيدات على أساسيات الخياطة في مشروع أرزاق. #JHCO #تمكين #تدريب URL,2,Women empowerment
369,437,تأهيل منسوبي جمعية تاروت الخيرية للخدمات الاجتماعية للعمل على #نظام_رافد_الإلكتروني وذلك ضمن مبادرة #رقمنة_العمل_الخيري وخطة #التحول_الرقمي في الجمعية #القطيف URL,1,Digital Transformation
495,588, ماذ عن الاطفال اعمار اقل من ١٥ عام  الذي عندهم زياره  ولم يتلقو تطعيم كورونا  ما اجراءات العمره لهم  نرجو الاجابه  بارك الله فيكم,0,Covid Vaccine
3323,3906,حين تقرر على فتح مشروع شخصي لاتنظر إلى رغبتك وشغفك تجاه ماينقصك في الحياة من مشاعر أو فنون بل انظر إلى رغبة عموم الناس التي لاتتخطى عن الحاجات الأولية والأساسية كالطعام  خاصة في زمن الأزمة ..#تمكين_المرأة   ,2,Women empowerment
990,1166,وأكيد منع التواصل العلمي مع الأماكن العامية والمؤتمرات العالمية بالذات و.... ظرف مشدد للعقوبة في بلد لتتحدث عن تمكين المرأة و.... . لذلك بأدعي على النفوذ وعلى الساكتين عليه في البلد دي  لأن الذنب هنا مش ذنب القانون,2,Women empowerment
2148,2524, جميع رؤساء الدول الساقطين متفقين على ذلك ..! 🔻تقول ميركل أن وهم كورونا لن ينتهي حتى يتم تطعيم كل شخص في العالم باللقاح السام 💉🚫,0,Covid Vaccine
1966,2310,  الاراضي البيضاء خير مثال للفرق الي قدمة التحول الالكتروني عن السابق الان المواطن صار يقدر يختار من المشروع و يطلع على المخطط بشكل اسهل,1,Digital Transformation
592,708,معلش بقى هى دى ضريبه تمكين المرأه 😁 URL,2,Women empowerment
17,23, يامستشارين الصحه : اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيق,0,Covid Vaccine
3097,3633,MENTION MENTION MENTION MENTION MENTION MENTION ربئي يا ربئي! يعنني بدوية الساس والمنشى تنعتهم بالذكور وتحتمي بمتابعينها الذكور  الحكومة تتحمل توابع تمكين وتدليل وتفضيل وأشهار المرأة والتي لم نرى نتائجها في كثير من النساء الا في قلة الحياء وقلة الأدب والمسخرة وتدني الاخلاق وسواء بالحياة العامة او بمواقع التواصل وحتى في الوظائف,2,Women empowerment
2491,2924,أخذت البرازيلية الشابة  سيسيرا سانتوس  لقاح فايزر في 25 أغسطس  وبعد ثلاثة أيام ظهرت عليها علامات تجلط الدم وبُترت ساقها اليسرى. #لا_للتطعيم_الاجباري #ساحة_الإرادة #تطعيم_الأطفال_جريمة URL,0,Covid Vaccine
1962,2306,ما احلى العودة الى الحياة الطبيعية تدريجيا !  مع قرار خلع الكمامات في الاماكن المفتوحة بعد معطيات ايجابية عن مواجهة وباء كورونا وانتهاء تطعيم الغالبية العظمى من مواطني اسرائيل. نتمنى لكم وللعالم اجمع وافر الصحة ودمتم سالمين.  رمضان كريم  ايها الاخوة ,0,Covid Vaccine
2859,3357,  كورونا لا تفرق بين مواطن و مقيم و الهدف من الحمله هو تطعيم اكثر عدد و باسرع الطرق لكل من هم فوق 18 سنة و  يعيش على ارض مملكتنا الحبيبة لكي نظمن القضاء على هذه الجائحة باذن الله. نسال الله السلامة للجميع,0,Covid Vaccine
3413,4016,MENTION انا مع التطعيم..الصحيح…  مو تطعيم اخذه ويقولون عادي تحوشك كورونا..!! ليش اخذه عيل ؟ اثنين من الربع ماخذين تطعيمتين وبعد ٤ شهور سدحتهم الكورونا اسبوعين بالفراش ولعنوا الساعه اللي طعموا فيها.,0,Covid Vaccine
3237,3809,نبي تمكين المرأة بالبلديه URL,2,Women empowerment
3364,3957,كرست الدكتورة مريم مطر جهودها في دعم وتمكين قيادة المرأة والمساواة في العلوم والتكنولوجيا والهندسة والرياضيات ، ولتعزيز قضية تمكين المجتمع.     ,2,Women empowerment
422,503,جرير تستهدف زيادة معارضها بأكثر من 70 معرض   مخالفه بذلك كثير من الاطروحات المبالغ فيها بشأن التحول الالكتروني للشركات والمتاجر .  يتضح هنا الفرق بين الطرح التحليلي وبين الواقع المبني على الدراسات والاستراتيجيات . URL,1,Digital Transformation
1533,1807, تمكين المرأة من وظيفة تعفها عن السؤال و الحاجة ما تمنع شهامة الرجل  وانا في الرسول عليه الصلاة و السلام افضل مثال و زوجه خديجة رضي الله عنها و ارضاها,2,Women empowerment
1145,1351,2️⃣ إنخفض معدل الدخول للمستشفى بسبب #كورونا بهذه النسب: ٩١٪ بعد ٤ أسابيع من تطعيم فايزر.  ٨٨٪ بعد ٤ أسابيع من تطعيم أسترازينكا.  و فالكم طيب.   ,0,Covid Vaccine
2465,2889, وهل صار عالمياً مسموح للأطفال ؟! إللي أعرفه من سن ١٦سنة!!..ودعواتك ألقى واسطة واتطعم بسرعة.. لأني خايفة من انتشار كورونا ولا يتفاعل مع تاريخي المرضي السابق في الصغر مع الربو💔 عشان كذا مداومة يومياً اتصل يمكن ألقى فرصة تطعيم!..والله يبعد المرض عنا ,0,Covid Vaccine
2944,3450,التحول التقني الذي شهدته المملكة في عهد صاحب السمو الملكي الامير محمد بن سلمان يبهر الشرق والغرب ويدعو للفخر. حيث اصبح بامكان المواطن انجاز معظم اعمله التي كانت تشغل وقته و تقلل من انتاجيته عن طريق هاتفه المحمول.,1,Digital Transformation
68,82, اعتقد لو تتكاتف البلدية مع الجهات المختصة الاخرى بتشجيع التسوق الالكتروني وتخفيض اسعارها هناك كان بيكون احد اهم ركائز التحول الايجابي لصالح الجميع ومنهاسوف نخفف التزاحم بالمراكز و نفرض الامن والسلامة من الجائحة و توفر اعمال جديدة للجميع و تخف,1,Digital Transformation
1177,1387,هذه قائمة بالدول ذات النسبة الاعلى في تمكين المرأة في المناصب الادارية ( من الممكن ان يكون مديرك امرأة )  لاحظ ان هذه الدول عاهات اقتصادية من افقر دول العالم و بالطبع المانيا ليست احد هذه الدول ,2,Women empowerment
404,478,يعيش عصر تمكين المرآه✌️ ,2,Women empowerment
1788,2103, الحل السداد الإلكتروني في كل الولايات العالم تطور وماعاد الايصالات تنفع التحول الإلكتروني هو الحل. وهو المعمول به في العالم اجمع,1,Digital Transformation
155,187,   خبر جميل ومفرح   وبعد  التحول الإلكتروني اهم شي عشان نكون في المسار الصحيح   الله يوفقكم لخدمة ورفعة عمان.,1,Digital Transformation
1388,1636,وأختم حديثي للرجال الأفاضل🧔🏻‍♂️  لا تزعلون من حديثنا عن #تمكين_المرأة 🧕🏻 فهي نصف المجتمع  وتمكين المرأة هو تمكين للأسرة و المجتمع   فالمجتمع بحاجة لطاقاتها وابداعها لتحقيق التكامل والتوازن المطلوب..👍🏻🤝,2,Women empowerment
1528,1801,MENTION طيب قبل كورونا كل سنة ناخذ تطعيم ضد الانفلونزا العادية .. الغرض منه انه لو اصبت بالانفلونزا تكون عليك خفيفة و ما تتعب منها   لقاحات ضد كورونا نفس السياق ما تحميك ١٠٠٪ من الفيروس قد ما هو يقلل من اعراض المرض وما تطيح في المستشفى لا سمح الله  بالاخير انت حر في نفسك لكن لا تضر غيرك,0,Covid Vaccine
1493,1758, تمكين المرأة = تمكين التغريب,2,Women empowerment
1343,1589,نصيحتي لطلبة الشهادة الثانوية انهم يقرو البرمجة ويخلوها كتخصص ومجال جامعي ليهم   البرمجة مجال ثري جدا وليه مستقبل كبير جداً وخاصة انه يعتبر حقل دراسي ممتاز والعالم يتغير بسرعة طبقاً للتحول الرقمي الي صاير في العالم ومافيش تخصص يواكب هذا التحول الا البرمجة   ياريت تقرو عليه,1,Digital Transformation
2643,3098,وفخورة لأني من ضمن مؤسسين برامج جامعة تمكين المرأة اليوم 💜 ,2,Women empowerment
961,1130,#التحول_الرقمي ليس مجرد #معاملات رقمية فقط وإنما هو تحول فكري لترتيب وتنظيم المنظمة في #عصرنا الحالي  . . #رقمنة #تكنولوجيا #مواكبة #عالم #رقمي #تطبيقات #مواقع #ريادة_اعمال #تجارة,1,Digital Transformation
180,216,  اوللاااه على الكذب😄 الكيان الصهيوني اكثر دولة في العالم فيها نسبة تطعيم يمكن ٩٩٪ وهي من اكثر الدول اصابة بمتحور كورونا الجديد.. على فكرة المتحور الجديد خفيف واقل بكثير من المتحورات السابقة.. يعني لا يخرعونكم باسم متحور,0,Covid Vaccine
890,1049,تضمن المهرجان ايضاً كلمتين مقدمة من قبل منسقة المركز ومن مسؤولة قسم تمكين المرأة  وكذلك فقرات موسيقية ترفيهية كالعزف على العود وعرض من قبل فرقة جمار.,2,Women empowerment
2558,3001, وهذا توجه الحكومة الاستثمار في date center وتكون مركزها داخل السعودية خصوصاً مع التحول التقني الكبير,1,Digital Transformation
2178,2555,   التحول الإلكتروني يحتاجله شبكة إتصالات قوية جدا وضمير لا يعرف الكلل و الملل   بعض المعاملات بسبب الشبكة وبسبب تعطل الأنظمة تحتاج أكثر من ٣ أشهر بينما لو راجعنا  الجهة المختصة لا يأخذ أكثر من خمس دقائق,1,Digital Transformation
3096,3632,رؤية ٢٠٣٠ واقع يتحقق رأينا ذلك في تمكين المرأة في جميع المجالات، دعم المجالات الصناعية التجارية المالية ،دعم أسرنا القوية المنتجة، إدخال التكنولوجيا في الصحة و إطلاق تطبيق صحة و خدمة موعد ، لا ننسى أستحداث التخصصات الجديدة بالجامعات.   أفتخر بأنني سعودية💚.  #رؤية_2030_واقع_يتحقق,2,Women empowerment
3447,4060,#صوتك_لتوكلنا توكلنا تطبيق أحدث نقله نوعيه في المجال التقني و أكد على حرص المملكة على التحول في جميع المجالات,1,Digital Transformation
2207,2589,#التطعيم ضد فيروس #كورونا هو السبيل بعد لطف الله للخروج من الجائحة..  نجحت #جبل_طارق في تطعيم 95% من السكان البالغ عددهم 32 ألف نسمة وتم رفع أغلب الإجراءات الاحترازية والعودة للحياة الطبيعية تقريباً وتتطلع الدولة لاستقبال السياح في الصيف.  #نعم_للتطعيم ✅  URL,0,Covid Vaccine
2285,2678,  تروح مكاتب الوساطه ويضربو عليك فلوس علشان الموعد فقط هل هذا هو التحول الالكتروني,1,Digital Transformation
2302,2701, بالنسبة لي كشخص متخرج و باحث عن عمل ويتابع مع أفراد أسرته التحول من الحضور التقليدي إلى الإلكتروني شيء جداً رائع وجهد كبير و نجاحهم كان 100%. والمرونة لدى المعلمين و الطلاب ساعدت كثير . شكراً للجميع في وزارة التعليم .,1,Digital Transformation
1616,1906,"""تمكين المرأة لايعني إقصاء الذكور وتفضيل الإناث.. إنما يعني إتاحة الفرص المتكافئة للجميع على حد سواء بناء على معيار الكفاءة لا الجنس""  الواقع: ",2,Women empowerment
816,967,تمكين المرأة تدمير للأسرة ,2,Women empowerment
2211,2593,"إيمانًا بدورها الفاعل في رحلة التحول الرقمي، وتحفيزًا لاستمرار تمكينها؛ تأتي ""جائزة تمكين المرأة في قطاع الاتصالات وتقنية المعلومات"" لتحقيق أهداف التنمية المستدامة كإحدى مبادرات التنوع والشمولية  #قائدات_التقنية ",2,Women empowerment
121,147,واللي عاشو في الفجوه الكونيه اش يسوون 🚶🏻‍♂️  #موتمر_تمكين_المراه_2022,2,Women empowerment
517,615, الله يخارجنا منها حنا يادوب متخارجين مع الكبتاجون جابو شيء ماله علاج اعتقد انه مادخل للبلاد الا مع الانفتاح السريع ويبدو انهم ماحسبو حساب المخدرات والمسكرات الله يعافينا  وين دور الاعلام ووزارة الرياضة والتعليم  اذا صارت مقابله مع مسئول ماهو حافظ,2,Women empowerment
1064,1258, هذا مشهد مختصر من تمكين المرأة وعرقلة الرجل 😂😂😂😂😂😂,2,Women empowerment
2700,3167,تعلن جمعية قدرات للتنمية المجتمعيةوضمن وحدة تمكين المرأة الموجودة في الجمعية عن #عقد_دورة_التجميل_للسيدات ,2,Women empowerment
2931,3436, لأن الواقع الاداري سيء فكيف راح يكون الاونلاين جيد؟! 🤔  الواقع يعكس التحول الإلكتروني,1,Digital Transformation
